"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","18020","PA","Allentown-Bethlehem-Easton, PA-NJ",8103,67,12.6760563380282,75,5.71428571428571,8.55172413793103
"Zip","18109","PA","Allentown-Bethlehem-Easton, PA-NJ",8350,67,7.84313725490196,63,0.285714285714286,8.55172413793103
"Zip","18013","PA","Allentown-Bethlehem-Easton, PA-NJ",8418,67,19.5121951219512,84,9.14285714285714,8.55172413793103
"Zip","18040","PA","Allentown-Bethlehem-Easton, PA-NJ",8909,67,6.74157303370786,73,0.571428571428571,8.55172413793103
"Zip","07882","NJ","Allentown-Bethlehem-Easton, PA-NJ",9164,67,21.2765957446809,111.5,9.71428571428571,8.55172413793103
"Zip","18036","PA","Allentown-Bethlehem-Easton, PA-NJ",9487,67,4.34782608695652,93,3.42857142857143,8.55172413793103
"Zip","18055","PA","Allentown-Bethlehem-Easton, PA-NJ",9602,67,10.4166666666667,76,4.28571428571429,8.55172413793103
"Zip","18080","PA","Allentown-Bethlehem-Easton, PA-NJ",9765,67,6.02409638554217,78,2.28571428571429,8.55172413793103
"Zip","18071","PA","Allentown-Bethlehem-Easton, PA-NJ",9913,67,8.57142857142857,85,4.57142857142857,8.55172413793103
"Zip","18031","PA","Allentown-Bethlehem-Easton, PA-NJ",10120,67,17.7777777777778,74,7.42857142857143,8.55172413793103
"Zip","18229","PA","Allentown-Bethlehem-Easton, PA-NJ",10149,67,3.57142857142857,87,2.85714285714286,8.55172413793103
"Zip","18210","PA","Allentown-Bethlehem-Easton, PA-NJ",10363,67,14.2201834862385,104.5,8.57142857142857,8.55172413793103
"Zip","18088","PA","Allentown-Bethlehem-Easton, PA-NJ",10394,67,10.2564102564103,75,3.71428571428571,8.55172413793103
"Zip","07825","NJ","Allentown-Bethlehem-Easton, PA-NJ",10475,67,15.0943396226415,126,9.42857142857143,8.55172413793103
"Zip","07823","NJ","Allentown-Bethlehem-Easton, PA-NJ",10527,67,14.7058823529412,104,8.85714285714286,8.55172413793103
