"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","70791","Zachary","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,4.15989796603343,90.91,0,0,195500,0.565843621399177,1.08583247156153,0.0215447570332481,,0.0771670190274841,0.0650684931506849,76.5
"Zip","70802","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,7.20682016513392,100,0,0,,,,,,0.280049566294919,0.0442477876106195,81
"Zip","70805","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,6.0790763240921,50,0,0,27400,3.39622641509434,8.73015873015873,0.0551824817518247,,0.455527318932656,0.0697350069735007,81
"Zip","70806","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,4.15184265288313,100,0,0,194400,0.102986611740474,2.3696682464455,-0.0110545267489712,,0.0982861140258832,0.0249110320284698,72
"Zip","70807","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,7.18802443444989,100,0,0,,,,,,0.213953488372093,0.0507246376811594,81
"Zip","70808","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,5.72934147814996,88.24,0,0,274900,0.291864283108355,3.34586466165414,0.0163805020007275,,0.0772933939556031,0.00692041522491349,76
"Zip","70809","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,7.75122507887494,57.14,0,0,226700,1.16019634091923,8.26170009551098,0.0428451698279664,,0.0872727272727273,0.0173611111111111,78.5
"Zip","70810","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,4.78015707860643,90,0,0,243100,0.206100577081616,2.74725274725275,0.0243891402714933,,0.0647302904564315,0.0256410256410256,75
"Zip","70811","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,7.1974222997919,100,0,0,109300,0.644567219152855,21.9866071428571,0.0173467520585544,,0.205995388162952,0.0634328358208955,81
"Zip","70812","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,7.06786601329127,100,0,0,76800,1.72185430463576,-6.22710622710623,0.111875,,0.262759924385633,0.115107913669065,81
"Zip","70814","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,5.05202389742901,100,0,0,146300,-0.136518771331058,12.4519600307456,0.0195693779904307,,0.193150684931507,0.106382978723404,81
"Zip","70815","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,5.37960663220783,88.89,0,0,167100,0.481058328322309,20.2158273381295,-0.0184021543985637,,0.176139561057963,0.0495207667731629,90
"Zip","70816","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,6.94636503994093,100,0,0,181000,0.277008310249307,8.97049969897652,0.0239281767955801,,0.101777059773829,0.0476190476190476,86
"Zip","70817","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,7.85594414982882,100,0,0,228000,0.263852242744063,5.99721059972106,0.0208859649122808,,0.0588905156987148,0.0303867403314917,84
"Zip","70818","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,8.17144391488219,100,0,0,177200,1.14155251141552,7.58955676988464,0.0296952595936795,,0.133928571428571,0.0277777777777778,81
"Zip","70820","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",,3.49801973551722,84.62,0,0,160500,-0.124455507156192,-0.186567164179104,-0.0241495327102804,,0.133895131086142,0,81
"Zip","71001","Arcadia","LA",,,,7.09404578102974,,,,65600,1.23456790123457,9.15141430948419,0.0219664634146342,,0.168674698795181,0,
"Zip","71006","Benton","LA","Shreveport, LA, LA","Shreveport, LA",,0.360475263475868,66.67,,,235900,-0.29585798816568,-0.757257046697518,-0.134285714285714,,0.0782898389783454,0.0567375886524823,96.5
"Zip","71023","Doyline","LA","Shreveport, LA, LA","Shreveport, LA",,6.728200308787,,,,56800,1.24777183600713,-3.72881355932203,,,0.310344827586207,0,106
"Zip","71037","Haughton","LA","Shreveport, LA, LA","Shreveport, LA",,0.104047794858025,75,,,170000,-0.234741784037559,-0.758902510215995,-0.186923529411765,,0.10247619047619,0.0371747211895911,77
"Zip","71040","Homer","LA",,,,0.595421897026247,,,,57900,0.346620450606586,6.62983425414365,0.0167012089810017,,0.14,0.0476190476190476,
"Zip","71047","Keithville","LA","Shreveport, LA, LA","Shreveport, LA",,5.47828421829899,100,,,170100,0.591366055588409,12.2031662269129,-0.159235743680188,,0.14122533748702,0.0514705882352941,116
"Zip","71052","Mansfield","LA","Shreveport, LA, LA","Shreveport, LA",,8.72524669396523,,,,54300,1.30597014925373,27.1662763466042,,,0.233990147783251,0.0315789473684211,106
"Zip","71055","Minden","LA","Shreveport, LA, LA","Shreveport, LA",,6.85171511042492,100,,,66500,1.3719512195122,0,,,0.186180422264875,0.0206185567010309,106
"Zip","71075","Springhill","LA","Shreveport, LA, LA","Shreveport, LA",,3.92293750419548,0,,,43100,0.466200466200466,4.35835351089588,,,0.178343949044586,0,106
"Zip","71104","Shreveport","LA","Shreveport, LA, LA","Shreveport, LA",,0.321541249916091,0,,,97900,-0.406917599186165,1.34575569358178,,,0.233289646133683,0.0280898876404494,119
"Zip","71129","Shreveport","LA","Shreveport, LA, LA","Shreveport, LA",,2.5213130160435,,,,148400,0.202565833896016,17.3122529644269,-0.195040431266846,,0.1430781129157,0.0756756756756757,119
"Zip","71201","Monroe","LA","Monroe, LA, LA","Monroe, LA",,7.76599315298382,100,,,157000,0.641025641025641,4.24966799468791,0.0247261146496816,,0.108827650630546,0,106
"Zip","71203","Monroe","LA","Monroe, LA, LA","Monroe, LA",,6.45901859434785,100,,,129200,0.858704137392662,7.13101160862355,0.00201238390092873,,0.0869947275922671,0.0471380471380471,92
"Zip","71220","Bastrop","LA","Bastrop, LA, LA","Bastrop, LA",,0.686044169967107,,,,81000,0.496277915632754,6.71936758893281,0.0118765432098766,,0.135321100917431,0.0564971751412429,
"Zip","71222","Bernice","LA","Monroe, LA, LA","Monroe, LA",,1.150567228301,,,,74300,-1.71957671957672,-0.933333333333333,-0.0326514131897712,,0.225,0,95
"Zip","71225","Calhoun","LA","Monroe, LA, LA","Monroe, LA",,7.56662415251393,50,,,188200,1.0198604401503,8.72328134026574,0.00933049946865028,,0.0767045454545455,0,95
"Zip","71227","Choudrant","LA","Ruston, LA, LA","Ruston, LA",,1.770826340874,66.67,,,156700,0.836550836550837,5.37995965030262,0.0340778557753669,,0.108527131782946,0.0357142857142857,
"Zip","71234","Downsville","LA","Monroe, LA, LA","Monroe, LA",,8.15936094515674,,,,148400,1.22783083219645,3.34261838440111,0.0101684636118597,,0.0755555555555556,0,95
"Zip","71235","Dubach","LA","Ruston, LA, LA","Ruston, LA",,0.0630999530106733,,,,133200,-0.597014925373134,2.06896551724138,-0.00736486486486487,,0.134228187919463,0.025,
"Zip","71241","Farmerville","LA","Monroe, LA, LA","Monroe, LA",,3.22078270792777,,,,129700,0.698757763975155,2.0456333595594,0.0125751734772552,,0.0882352941176471,0.0476190476190476,95
"Zip","71251","Jonesboro","LA",,,,0.0698127139692555,,,,53600,0.186915887850467,1.51515151515152,-0.0136007462686567,,0.251445086705202,0.0229885057471264,
"Zip","71260","Marion","LA","Monroe, LA, LA","Monroe, LA",,1.23716184466671,,,,68100,-0.583941605839416,-5.80912863070539,-0.0223935389133627,,0.206349206349206,0,95
"Zip","71263","Oak Grove","LA",,,,4.81036450292005,,,,80900,0,-0.4920049200492,0.0263782447466008,,0,0,
"Zip","71268","North Hodge","LA",,,,0.200040276565751,,,,97400,0.515995872033024,-1.01626016260163,-0.000523613963039016,,0.173708920187793,0.027027027027027,
"Zip","71270","Ruston","LA","Ruston, LA, LA","Ruston, LA",,3.9739544874807,85.71,,,177800,0.338600451467269,6.72268907563025,0.0234026996625423,,0.0676305970149254,0.00689655172413793,
"Zip","71282","Tallulah","LA",,,,0.0181244545881721,,,,41600,0.240963855421687,-8.16777041942605,0.00218750000000001,,0.302941176470588,0.0388349514563107,
"Zip","71291","West Monroe","LA","Monroe, LA, LA","Monroe, LA",,6.14687520977378,100,,,154500,0.848563968668407,2.72606382978723,0.0224401294498382,,0.0762081784386617,0.0348432055749129,92
"Zip","71292","West Monroe","LA","Monroe, LA, LA","Monroe, LA",,3.83567161173391,77.78,,,91800,0.327868852459016,10.6024096385542,-0.00872549019607838,,0.104,0.020979020979021,93
"Zip","71295","Winnsboro","LA",,,,3.23353695374908,,,,68400,0.884955752212389,16.5247018739353,0.0369883040935672,,0.239543726235741,0.103174603174603,
"Zip","71303","Alexandria","LA","Alexandria, LA, LA","Alexandria, LA",,6.98194267302141,80,,,172100,1.3545347467609,8.51197982345523,0.0489366647298082,,0.0853717026378897,0.0168539325842697,74.5
"Zip","71327","Cottonport","LA",,,,0.646438880311472,,,,90900,0.776053215077605,3.06122448979592,0.0177117711771178,,0.208053691275168,0.032258064516129,
"Zip","71334","Ferriday","LA","Natchez, MS, MS","Natchez, MS",,0.0980063099953011,,,,39300,1.28865979381443,-7.52941176470588,-0.0153435114503817,,0.230519480519481,0.0985915492957747,
