"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"Flatbush","New York","NY","New York-Newark-Jersey City","Kings County",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,454500,469000,405000,399900,399900,382000,445000,447000,445000,425000,450000,450000,449000,499500,479000,450000,456000,475000,469000,469000,455000,495000,479500,499000,479500,512000,532000,525000,535000,530000,575000,575000,575000,579500,585000,575000,577000,575000,570000,550000,575000,575000,550000,580000,575000,550000,550000,550000,561500,549000,549000,565000,565000,569500,550000,562000,577000,580000,565000,549000,549000
"Southeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",22,69900,72000,72847.5,72000,72000,70000,69900,68900,68900,69900,70975,67900,65000,64999.5,59900,62250,65000,69000,69000,68000,69900,69900,65000,65000,64700,61250,59900,59000,57250,59900,59000,59900,57500,54000,57600,59000,57000,58450,58000,60900,65000,68500,66500,67000,66900,66700,67250,68000,69000,60000,69000,75900,76500,73900,75000,75000,79000,77000,75450,79000,84700,84900,86000,95000,91250,92500,91200,94900,99500,99900,104500,107000,105000,107500,110000,109900,105000,109949,112900,114900,110000,112750,115000,119000,119900,124900,127945,134900,139900,141950,139900,142950,140000,142900,139900,139900,135000,139900,139900,141500,145000,146900,150000,158950,165000,165000,164999,165000,166000,167500,172800,179500,184900,184900,184900,186900,185000,184900,175000,174900
"Alhambra","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109900,108000,115000,115000,118000,115000,124900,125000,125000,125900,125000,130000,133700,134900,139892.5,136950,142750,144900,149000,155000,153949.5,149900,149900,154900,159900,164900,179000,179500,170000,172000,169250,169900,175000,176900,179000,188000,188944,189949.5,194900,199000,190000,190000,190500,199000,194900,187000,185000,192500,197499,206900,210000,209000,209950,209900,214950,209900,216000,220400,219000,215000,219950,229200,235000,239000,229900,229000,225000,228500,229700,230000,225000,228888,235000,237800,237000,238950,235500,235000,234900,230000,229500,226450,230000
"Crown Heights","New York","NY","New York-Newark-Jersey City","Kings County",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725000,725000,729500,750000,757000,762500,765000,775000,849000,999000,954360,982000,950000,950000,988500,995000,975000,1007000,986000,996999.5,940000,899000,879500,869000,850000,849500,849000,865000,850000,870000,875000,812500,825000,809469.5,795000,805000,799000,815000,849500,799000,737000,7e+05,699000,699900,679000,715000,798500,8e+05,925000,899000,925000,899000,879000,950000,950000
"Jamaica","New York","NY","New York-Newark-Jersey City","Queens County",25,299000,299000,299000,299000,299000,299000,299000,299000,299000,309000,308500,309000,299000,299000,299000,299000,299000,299949.5,299000,299000,299000,299000,287000,290000,299000,299000,299000,299000,292500,299000,289999.5,276000,285000,285000,279000,289000,291993.5,302950,309000,328500,329000,328500,329000,329000,325425,329000,339000,339000,329000,339000,339000,339000,339000,339000,345000,349000,349000,339999.5,340000,357000,375000,389000,389000,379999,389000,390000,389999,389000,389000,395000,389949.5,399000,419000,419500,420000,424999,425000,429000,429000,429000,439000,439000,449000,458000,459000,459000,459000,450000,450000,450000,449000,449000,449000,459450,469000,469999,479000,479999,475000,475000,475900,489000,499000,499000,489299,489000,479000,485000,489299,489499.5,499000,499499.5,499000,495000,489000,499000,499900,5e+05,510000,519999
"Harlem","New York","NY","New York-Newark-Jersey City","New York County",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785000,780000,795000,830000,795000,749000,787000,799000,889000,899000,902000,899000,875000,880000,825000,899000,837000,899000,879000,850000,875000,867500,849000,807750,825000,929000,932000,959500,996500,945000,929000,849000,9e+05,899000,899000,875000,860000,760000,845000,875000,875000,875000,890000,849500,889500,895000,899000,895000,875000,855000,895000,895000,899000,895000,850000,850000,848500,850000,845000,825000
"Roosevelt","Fresno","CA","Fresno","Fresno County",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132000,125000,131750,134900,135000,135000,140500,135000,135500,139999,150000,169900,185000,179495,171900,181000,189450,193000,189000,177000,172950,169900,178000,178000,175000,170000,169740,184950,182450,184950,183950,185000,178339,175000,187372,203495,206945,196750,193000,193000,180000,190000,180000,175500,189900,178250,210000,209999,204750,2e+05,2e+05,199900,178950,179000,195000,190375,205000,204900,215000,215000,235000,239500,244900,249950,254999,240000,238431.5,224950,229997.5,240000,249900,239900,247500,248250,238400,229995,234450,241450,226999.5,219900,240000,249000,249000,250000,234950,235000,245850,244450,244000,260000
"East Side","El Paso","TX","El Paso","El Paso County",28,136000,135000,135000,135000,138925,138925,137777,139500,138500,138700,140000,139900,136600,138950,138950,139625,142000,148950,145750,145500,145000,142000,139950,139950,139900,138800,142000,144950,143450,142500,139950,139900,136000,134925,133750,130000,130000,135500,139000,139950,139900,139900,139700,139900,139900,137000,137900,135700,138550,139000,139900,142000,139974,140000,140000,139900,139500,135250,135700,136900,135500,137000,139500,144925,149000,147000,145000,145000,149000,148975,147000,143000,147000,147490,149000,151200,154900,152000,151975,152000,154990,156750,155000,155000,155000,155000,155000,155767.5,158900,160000,155000,160000,159897.5,160000,159000,157000,149950,149974.5,151100,153000,149950,155000,152270,155000,152000,156350,155566.5,157290,159900,157500,149950,157595,160000,159900,161250,160000,159950,157500,159250,159999
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",29,165000,164900,162900,160000,159900,157250,150000,150000,153900,150000,149950,145500,149000,149000,148990,145000,144900,144999,143000,142900,140000,139900,139900,139900,139900,141777,144000,149900,159000,157000,150000,149900,150000,155000,158500,160000,164500,165000,169000,170000,179000,188000,195000,205000,209900,209000,210000,213990,215000,215000,224900,223725,225000,230000,230000,231475,234950,235000,233245,234694,234999,236975,240000,249000,255000,252200,255000,259000,257000,259250,264900,263189,265000,254995,265000,269888,276490,279000,281500,282445,289990,288000,290000,290000,294900,295620,296895,301500,305000,312495,319990,322970,329000,325000,326990,327250,337970,336500,334000,330000,330000,322500,328000,335000,339990,345000,345000,340000,339900,335000,335000,338400,338136.5,339890,339999,340000,339900,349900,347000,345513.5
"Williamsbridge","New York","NY","New York-Newark-Jersey City","Bronx County",30,339000,329500,330000,329000,329500,329350,329850,329000,329000,329000,3e+05,299000,3e+05,325000,316995,325000,324995,329000,336000,337000,329000,324990,320000,325000,327000,322495,304500,289000,3e+05,299000,310000,304500,299000,299000,325000,321550,329500,340000,345000,329000,339000,325000,325000,329000,329000,349000,349000,359000,409000,419000,399000,418000,350000,359000,359000,369000,365000,350000,334950,322000,342000,384000,389000,389000,389000,399000,395000,399000,389000,379000,379000,378990,385000,385000,385000,377000,379999.5,379999,387000,387000,387000,392000,389000,399000,399000,399000,387000,379000,352550,349999.5,385000,375000,359000,365000,359000,375000,347500,364966.5,374950,333189,380291,392500,399000,397000,399000,399000,395000,399000,399000,399999.5,409000,425000,4e+05,399000,399000,399000,399000,399000,399000,387000
"East Harlem","New York","NY","New York-Newark-Jersey City","New York County",31,755800,712300,660000,585000,562500,550000,499000,550000,549000,529000,574000,599000,597000,527000,590000,594550,599000,595000,599000,617750,657000,607350,6e+05,630000,639500,695000,682500,597000,595000,615000,649000,709000,647000,669500,680000,725000,750000,749500,778000,788000,773500,769000,749000,787500,815000,815000,815000,778800,813400,815000,829500,852500,838000,828500,838000,770000,770000,710000,699000,775000,838000,9e+05,938800,966825,994399.5,897500,910000,917100,893375,843670,836170,843670,804650,799000,825000,752500,750000,767500,797293.5,787968,827000,817500,845000,827000,880000,871225,965000,895000,949000,880000,890000,899900,975000,939000,899000,897000,895000,899000,875000,895000,889000,895000,899000,895000,897000,875225,850000,850000,834500,855000,850000,825000,849000,795000,795000,825000,790544.5,789250,777000,775000
"North Scottsdale","Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",32,625000,595000,573750,606500,579900,579000,579000,574500,596944,579000,595000,622000,6e+05,581995,594000,571947.5,595000,595000,573995,599000,6e+05,594997.5,550997.5,599900,594997.5,625497.5,575000,509900,525000,597995,625447.5,639000,650000,691995,650000,671995,699450,695000,712900,735900,674900,687497.5,769000,779000,799900,748500,775997.5,765947.5,805495,781450,761995,761995,797900,772750,749000,748500,740497.5,717995,717995,725995,748000,787900,739900,794947.5,819000,837995,8e+05,793447.5,795947.5,789000,796900,794900,713947.5,798000,724900,773447.5,798500,779000,737990,769990,769990,770497.5,739000,738497.5,728997.5,701995,734000,843000,845000,825000,820000,799950,799950,771757,775000,799900,799000,799000,7e+05,7e+05,699900,654000,650000,621997.5,669000,681750,690000,690000,709000,750000,782500,795000,749000,838000,799920,748000,699500,644000,650000,748000
