Neighborhood,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Victoria Park,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,231.08030040439098,238.444607483492,223.004694835681,219.52594800052398,214.32589716570203,208.60927152317902,210.675168815224,213.192600896861,204.030602684655,205.28031290743198,210.824742268041,201.763894533205,194.741987409087,197.76936026936002,194.202898550725,188.230856280649,193.560606060606,196.598639455782,198.92947852567002,198.915009041591,192.93414918414902,203.665139525198,202.778058633316,200.804828973843,204.390484820514,218.98087749084098,219.481711613374,234.983624518508,235.469041661702,234.75801382778099,244.24647364513697,236.842105263158,240.383012820513,232.37019230769198,238.541666666667,241.922825376063,237.5,244.24647364513697,245.11660657768903,245.572609208973,250.0,252.60970134962102,267.139479905437,263.111696610501,274.212755356253,266.100523168909,259.8,260.535062565172,281.912737769409,283.324509019069,278.892455858748,264.150123051682,294.932779146141,287.939988459319,283.573590710599,285.614528329466,292.092795435276,282.804358124112,283.09768079216,284.626894661497,282.45134630765097,284.48275862069,277.675779836937,285.41839270919604,287.87391444194304,295.30367286206,293.554327808471,292.884948335373,295.71116465863497,291.808138383684,293.554327808471,296.869788192128,297.77601270849897,298.246980713224,288.778877887789,290.730573128128,290.991986972016,300.751604738232,305.560863749283,306.228738422667,304.545454545455,306.372549019608,303.33944787803904,305.786874251163,304.310438247012,305.199786713351,306.66587895974203,303.506208911614,307.253189355599,308.910534457318,310.687767778009,311.10666666666697,311.10666666666697,314.079626314089,319.257837492003,317.86850477200403,317.307692307692,318.155694632333,317.86850477200403
Imperial Point,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,189.69159273341802,166.160224553654,136.541592658378,145.966029723992,145.502645502645,149.688868588624,161.50234741783999,163.161711385062,173.116430720995,167.061514685385,156.25,150.731802809953,145.630097087379,145.630097087379,145.445434267738,147.922998986829,147.922998986829,149.444444444444,150.782992834408,155.92640727692,155.075576943377,153.26058682759302,156.25,146.666666666667,133.467471495641,148.288612188797,157.894736842105,152.75600297133101,152.226669877045,148.978401191658,150.39682539682502,152.638464893153,159.354995801847,159.53051643192498,169.886363636364,151.528934207868,166.352671451356,178.245319285126,176.177536231884,176.15384615384602,187.902340119963,202.026599113363,202.026599113363,177.86853939062001,168.780151619573,178.999108790144,181.60958864065898,207.220573689416,181.77634606534698,193.18840579710098,195.410821214713,207.62551906379798,194.686929659122,199.48957890259499,203.499206412428,203.59682054319697,202.08453966415698,194.87364620938598,193.94845101167,187.60032322568298,175.81580855692502,199.55654101995603,195.259045704767,201.005484460695,208.505118731157,207.416666666667,210.108310634666,216.37426900584802,220.64665364312302,225.713644445448,231.141199226306,218.326459570926,206.60156578819598,218.165723185346,217.479369842461,217.56890601460202,229.310344827586,232.748538011696,233.93636930754798,224.444444444444,245.614035087719,245.11934391000702,215.004887585533,208.52713178294601,227.441860465116,231.318394997394,240.758579169175,237.443946188341,237.409038092067,252.476251012376,234.65703971119098,215.884476534296,214.285714285714,213.100775193798,206.671511627907,207.170542635659,214.285714285714,233.626588465298,231.268996960486
Beach,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,226.363636363636,222.111111111111,218.73856986101,223.81435401492598,216.544045294216,214.444444444444,217.260869565217,214.301868239921,214.646464646465,217.33201581027697,219.9,217.606543263022,215.04310344827599,219.253947368421,214.39257199885898,211.42857142857102,213.19547021171797,210.196779964222,207.865168539326,209.671117942806,210.55515382056998,214.796703296703,210.525789473684,209.87104524197,206.42857142857102,207.82537248028,205.34979423868302,204.102564102564,214.285714285714,218.07233276328498,216.805644644003,219.263255541451,227.50106557876097,230.092204526404,234.26573426573398,230.26315789473702,236.666666666667,233.765032377428,240.824829931973,242.560425039916,246.815286624204,245.72368421052602,245.128205128205,245.72368421052602,250.0,257.503949447077,259.323915996992,261.242603550296,258.079876963865,258.747300215983,262.878116437198,262.5,271.090952380952,275.147928994083,279.20368197564,282.030370415316,283.45959595959596,277.951933124347,277.951933124347,278.874734607219,276.315789473684,275.63679909833803,269.887291977351,269.279416363361,271.914893617021,272.726363636364,279.828353464717,282.411616161616,279.84742530197104,285.42212960455504,281.74835949061503,282.597028623111,280.909090909091,282.364223702806,290.243902439024,284.439775910364,285.720915448188,285.506629733902,287.345565055027,289.473684210526,290.929066558988,291.45077720207297,286.343612334802,289.354897660819,293.137254901961,295.92946007972,294.70066292707804,299.090909090909,305.632211337865,309.704641350211,312.5,308.293561669474,305.312710154674,302.143914843471,295.88696369637,295.88696369637,309.51155575864,316.264421416235,313.506994693681
Coral Ridge Country Club,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,256.035421601459,259.381443298969,253.205473771511,230.416666666667,243.03084769717603,221.242578456319,224.603174603175,213.809523809524,213.742368742369,217.94871794871798,219.944444444444,218.431451793974,223.421550094518,222.46947835738098,219.56928838951302,222.46947835738098,212.101772228112,213.675213675214,214.238095238095,210.52833078101102,215.113633540373,202.333333333333,196.16704888352402,195.45793000744598,207.08749214846802,210.555555555556,212.490761271249,206.86540198735298,199.22619047619,210.606060606061,219.17576932111803,222.74633123689702,232.08058891902402,222.72636363636397,228.90669719519198,221.020092735703,231.937363437728,251.43075162151902,242.151162790698,237.866772402855,245.413368513632,259.20237129355803,253.36754329698502,247.49340369393101,261.115954664342,254.17674978918203,257.233452239398,256.907416383907,262.5,264.499644244978,260.44536202063205,252.57526530875,253.815715093273,261.379310344828,263.876251137398,276.73130193905797,292.03697318007704,294.929240447344,290.273146823613,283.803185379923,280.95644748078604,287.2460496614,289.579311454311,308.929590383929,307.88675429727,305.31042184565496,289.62611901000497,290.600775193798,290.113447101902,290.600775193798,293.75,300.50129076517396,308.730158730159,308.766623766624,306.78467914031603,304.766269477544,310.51464063886397,310.395666131621,308.108108108108,306.233062330623,303.119730185497,299.090422685928,299.16805324459204,298.354735152488,299.16805324459204,297.954822954823,299.229230769231,301.890614449696,307.597603994869,310.41666666666697,312.4781984008,306.945207989738,306.945207989738,309.27835051546396,306.55877342419103,299.923076923077,303.78122889939203,307.1875,308.657032400589
Garden Isles,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.389549352765,278.083520522769,278.15971264191603,281.92090395480204,288.021228203184,292.558139534884,289.74358974358995,283.25581395348803,283.25581395348803,295.314802008479,283.25581395348803,302.76701749945204,285.029069017194,305.819477434679,293.893129770992,293.984682480587,282.629021624473,257.009345794393,254.356568364611,271.73913043478296,268.583830710798,259.986735515657,270.339262187088,279.633813745963,295.489085239085,294.776748104465
Avalon Harbor,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.16468253968299,208.333333333333,229.230769230769,202.951039570758,215.56717284872602,235.29294117647098,249.15824915824902,233.333333333333,247.166666666667,247.741582491583,238.15734116413398,237.062786247569,238.611713665944,239.211507725093,241.817656765677,241.032092772384,239.91275899672797,252.582995191405,247.003076744456,244.693692134637,243.68196876478902,241.583333333333,246.3689186653,253.47791422643,255.090827338129,253.47791422643,258.090614886731,268.252062401873,266.802443991853,266.128987722608,254.582484725051,248.84120171673803,244.142393709351,259.688386450859,260.0,274.175824175824,274.175824175824,288.461538461538,295.234744514228,288.461538461538,288.327019930266,279.238947957471,287.237255782618,286.355475763016,286.355475763016,279.238947957471,274.194836297576,264.966740576497,276.111705787904,279.713114754098,278.403754200863,280.30303030302997,278.144972870088,291.934332619557,293.80650994575,286.26597948339804,288.271209240126
South Pointe,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,652.38718116416,642.857142857143,623.75,610.619469026549,616.5501165501171,624.348958333333,611.888111888112,625.3755364806871,620.057034626945,625.751072961373,641.891891891892,634.615384615385,621.5657960935321,661.099512874043,639.957264957265,582.9803746895581,618.604651162791,627.717391304348,630.434782608696,633.263743910926,656.578947368421,669.0067853675071,671.296296296296,672.494172494173,694.6624405061231,741.856480868529,740.358126721763,750.495747324159,798.229646017699,757.5757575757581,724.358974358974,716.145833333333,728.438228438228,743.589743589744,786.7132867132871,786.7132867132871,826.446280991736,814.7705234325019,785.743243243243,786.599886599887,788.4615384615379,756.5653669724769,788.4615384615379,810.936051899907,810.197755679683,886.165657758748,894.868421052632,894.6161274746499,906.817591554432,912.213740458015,892.1428571428571,898.2132154876609,904.662491301322,938.761308281141,907.9869648997591,960.0,959.0419161676649,995.535714285714,1029.8144976246601,1086.39420589757,998.6225895316801,983.358547655068,996.1842105263161,970.7724425887269,899.3362844036699,899.3362844036699,1021.9512195122,1018.8957199489399,1099.0,1092.35301924353,1118.82168925965,1065.25238423093,992.5,1009.1743119266099,917.430275229358,991.348474170884,948.128803838951,959.6822456540319,962.002412545235,1012.47022174634,973.1648928358121,971.212075011435,966.37937819756,938.998360284971,963.302752293578,978.7234042553191,946.483180428135,922.627796831619,927.327877747426,910.945406354342,904.704463208685,886.5062761506281,904.704463208685,892.8571428571429,900.0,940.156965336821,957.831325301205,948.012232415902,979.486630237972
Bayshore,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.244029461727,675.942375234828,756.7268195873911,769.026548672566,774.7579007698951,762.0680044593089,746.427113107391,704.989154013015,677.966101694915,677.966101694915,683.3946707391369,658.8090204369271,663.584637268848,742.121848739496,753.9908779931591,716.035266035266,716.035266035266,704.372689023244,722.3810172854089,694.958826909235,694.958826909235,754.339622641509,801.3101177748359,809.950584007188,772.131147540984,784.524093918504,777.3584905660381,742.3076923076919,712.250712250712,694.680460379595,671.052631578947,668.556756659532,667.302192564347,638.0313086618401,634.469696969697,599.6894409937889,636.320754716981,663.9028344848359,668.835615811264,719.9767505006281,701.6624040920719,696.460176991151
Villages of Oriole,Delray Beach,FL,Miami-Fort Lauderdale,Palm Beach,62.1890547263682,61.684782608695706,60.1415094339623,59.4433399602386,59.3396226415094,59.0176374077112,55.7491289198606,56.1320754716981,57.027027027026996,56.46226415094339,56.1320754716981,56.415094339622605,58.490566037735796,59.4339622641509,59.459459459459495,56.509433962264204,55.67209340233911,57.027027027026996,57.027027027026996,57.2972972972973,56.910569105691096,56.910569105691096,56.7567567567568,56.0747663551402,54.8471615720524,56.716154118062896,58.5858585858586,59.719626168224295,59.9787037037037,55.7377049180328,54.671968190854905,59.44616851735121,59.5427435387674,59.5427435387674,64.88708220415539,64.8148148148148,66.8224299065421,66.91891891891889,68.7613655858638,69.4181676112479,68.9949537426409,69.4181676112479,66.5671641791045,68.5572139303483,70.61642923711891,70.66037735849059,76.2616822429907,75.5675675675676,75.7575757575758,77.4767080745342,74.0796019900498,74.7474747474748,77.1390484003281,81.5164935360969,81.5164935360969,84.12530762920429,90.19843656043301,93.64111498257842,89.29151412747579,91.4889698330115,82.75261324041809,81.88153310104529,86.03807796917499,86.03807796917499,88.4691848906561,102.80177680480601,104.06504065040701,109.349593495935,108.39154193395099,107.32240437158501,106.07476635514,110.16260162601601,111.78861788617901,109.959349593496,108.85885885885901,107.317073170732,105.860491709548,105.53635953026199,104.485233798195,105.462962962963,103.26502732240401,102.830188679245,105.206624773671,107.396854342375,110.280373831776,109.259259259259,109.259259259259,108.695652173913,109.75609756097602,109.433962264151,108.413114504977,106.01178861788601,106.54205607476601,106.688524590164,115.422885572139,116.822429906542,118.770491803279,119.127627627628,116.161616161616
Pineapple Park - Ibis,West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,181.909625891824,180.81537644215598,174.91166077738498,174.87487183947,170.794165892205,169.68911917098401,164.171448425991,170.46533713200398,167.386091127098,167.800838578076,168.216543389714,164.169553643151,162.88441049206,164.104397568824,160.374832663989,154.454253611557,152.69400282489,154.071710019736,153.958398013039,153.654060715186,149.05284147557302,145.833333333333,143.20095924875602,141.341483173114,143.606305518199,141.00293791692698,144.05360134003402,148.470305938812,148.711580254579,144.728397430744,147.911051212938,149.312151265502,144.588813637149,152.816284120176,148.711580254579,147.911051212938,147.068676716918,148.826990902099,150.42075736325398,149.888553470613,151.013634631705,150.034176349966,151.588397790055,154.122735954808,149.97329828952,151.076254431162,149.756493506494,151.768620332299,142.86547195774799,150.206260616355,150.183573640319,149.951908627771,149.951908627771,149.974595603807,149.552448800143,144.65356794034,148.44580338116998,152.475247524752,153.324287652646,152.899767588699,162.72027134876302,154.198696772712,169.75306228768,149.031579663035,152.924173447875,154.630039875942,152.23926086326,153.399385035873,151.714261282505,150.414478995788,161.572226656026,160.756742178074,161.460751972993,182.79022403258702,183.572641655087,181.077555602819,182.37218080991198,177.77834512133,177.115987460815,179.13117039543098,181.233621451013,177.098923875975,177.219430485762,175.71174377224202,172.429481346679,169.448373408769,167.865707434053,163.93460640971702,159.310799081483,159.431425278525,157.118927973199,158.669108669109,153.122949315635,156.89079637577498,157.488247145735,158.657243816254,157.16329450235,156.953879156239,156.953879156239
Biscayne Point,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.897866647556,634.057971014493,580.409767050239,622.065063649222,582.698341550874,582.698341550874,582.698341550874,577.063456489723,563.345864661654,589.714113276956,593.471810089021,649.767832545736,649.767832545736,632.042253521127,628.48696461825,631.310135185288,631.310135185288,578.773470888774,575.6148613291471,571.9010617275679,568.459657701712,570.873770592411
