Neighborhood,city,state,metro,county,rent_1br_monthly,rent_1br_sqft,buy_home,buy_home_sqft,rent_2br_monthly,rent_2br_sqft,rent_sf_monthly,rent_sf_sqft,price_rent_ratio,pct_price_reduction_homes,median_pct_price_reduction_homes,pct_home_increasing_in_values,pct_home_decreasing_in_values
Greater Harmony Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,269900.0,121.96,,,,,14.3,,,72.5,25.4
Sunrise Neighborhood Coalition,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,135997.0,102.272727272727,,,,,17.97,,,96.15,3.53
Jefferson-Woodlawn Lake,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,232000.0,145.34883720930202,,,,,14.19,,,70.15,28.24
Sonterra-Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,399500.0,142.511451041397,,,1295.0,,4.44,8.0,1.4004001143183795,15.9,83.57
Harvard Place - Eastlawn,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,144900.0,143.888979725311,,,,,16.76,,,91.81,7.4
Monte Vista,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,550000.0,232.40069794245701,,,,,4.99,,,8.14,91.45
Tobin Hill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,430000.0,262.762762762763,,,,,10.34,,,47.42,51.17
Dignowity Hill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,285500.0,225.719719054416,,,,,11.35,,,53.99,44.63
The Dominion,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,729000.0,191.64513350559898,,,,,2.04,9.78260869565217,2.81436461465498,2.32,97.59
Mahncke Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,240.816829366685,,,,,7.84,,,17.82,81.87
Terrell Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,1200.0,,,,13.13,,,50.61,46.38
South Southwest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,20.55,,,94.5,5.27
Palm Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.22,,,96.16,3.52
Dellview Area,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,17.98,,,97.55,2.17
Lackland Terrace,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,23.31,,,99.01,0.76
Champions Springs-Sundance at Stone Oak-Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.26,,,,
Rainbow Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,19.99,,,80.97,18.79
Quintana Community,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.03,,,97.2,2.62
Northwest Los Angeles Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.01,,,95.6,4.06
Southwest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,9.23,,,51.71,45.68
Avenida Guadalupe,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.95,,,96.82,3.12
Thunderbird Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,21.58,,,96.27,3.44
Collins Garden,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.08,,,93.28,6.08
Thompson Community,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.33,,,95.12,4.71
University Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.26,,,88.28,11.53
Hidden Cove - Indian Creek-Southwest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.47,,,94.14,5.0
Pecan Valley,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,19.15,,,89.71,9.76
Beacon Hill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.93,,,76.01,22.25
Kingsborough Ridge,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.64,,,83.86,15.26
