Neighborhood,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Greenwood,Seattle,WA,Seattle,King,261.613372093023,257.344757499299,272.72250448951,270.560747663551,273.966505218637,261.880733944954,253.755432158378,257.126168224299,261.58940397351,249.982638888889,244.360902255639,240.909785932722,236.475225225225,231.145320197044,236.29879879879903,220.730164158687,240.0,233.973717948718,231.57894736842098,222.06730769230802,211.789392463471,210.07875691783698,212.121212121212,211.20689655172401,215.98968407479,227.240851714905,221.030042918455,216.049382716049,213.51034811438,234.877993766404,228.070175438596,231.894292604502,226.250996810207,230.102564102564,251.042553191489,250.356802911534,241.15755627009602,245.11673151751,250.0,256.190476190476,268.067226890756,278.846153846154,279.719626168224,280.798416042447,275.296674679487,263.542415730337,255.038759689922,255.78488372093,239.42307692307702,246.15384615384602,259.055454545455,267.864251563606,276.082089552239,289.719626168224,288.125,289.49331830252703,284.313725490196,280.37072243346,284.57264957265,278.071045022718,295.323660714286,283.11512916258596,300.22630674624696,309.776755238145,319.689517483585,321.361016949153,327.377049771927,326.06884057971,343.268656716418,339.966832504146,314.546943231441,312.45125,368.067484662577,374.149659863946,390.608082069306,381.78067185978597,374.149659863946,379.959316376458,365.30612244898,355.654761904762,394.90467260509496,397.309290953545,387.96296296296305,374.08270394772103,382.125223141837,398.72857958872805,406.13466202678495,418.71827411167504,422.829376632642,429.347826086957,429.853881744574,451.600353669319,429.363178580201,445.878378378378,469.504147812971,481.60550458715596,480.95053554480904,480.72458769293405,510.593286986064
Wallingford,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.460586779781,417.59776536312796,425.257731958763,416.837831906956,409.677419354839,396.95407196969705,422.835820895522,417.969634585692,412.943757479059,407.14159465828794,391.447368421053,400.207724898194,422.835820895522,457.714554748453,436.979166666667,451.15969422042997,444.55543154761904,447.90178571428595,487.77439024390196,487.77439024390196,474.169741697417,474.91686868686895,501.581027667984,484.691313711414,495.454545454545,488.826815642458,528.555980960265,549.253731343284,529.76821192053,585.221634678156,577.78914308765,577.0715770715769,572.5524475524479,565.58229352347,557.603686635945,550.323232323232,567.18487394958
Admiral,Seattle,WA,Seattle,King,309.52380952381003,304.266800085018,296.0932145305,299.462365591398,304.440549225825,310.60606060606096,295.798369745117,293.729623137599,292.206588148693,289.0625,285.633680555556,275.41100543478296,272.089908148846,279.113604204568,276.629390179976,288.170163170163,278.321678321678,287.225684261975,288.170163170163,287.51705955335,284.13583908147,283.950617283951,273.46997300944696,275.674251235824,263.135964912281,265.688405797101,260.0,267.326732673267,277.171049985925,281.87969924812,279.370629370629,269.608732040731,268.65671641791,267.525079520431,274.153225806452,257.8125,255.140186915888,263.63636363636397,274.697802197802,273.121387283237,283.555555555556,292.439578599463,285.118446067641,286.45833333333303,285.171102661597,284.623903603526,280.838323353293,291.151754819575,306.886668019481,298.3816342279,311.03896103896096,322.251641533044,303.013468013468,317.946990116801,298.165137614679,320.540787337662,317.069947429907,312.457627118644,306.656346749226,319.621561621978,327.280844155844,327.857142857143,330.459770114943,326.306918331375,329.18482257768,323.409381982033,320.48813238330297,326.496598639456,342.804400652866,364.678899082569,343.438914027149,342.261904761905,358.197932053176,370.36962962962997,379.026845637584,375.81699346405196,384.615384615385,372.54901960784304,360.484776722359,351.369092556243,374.52776790533,375.0,363.908227848101,369.454113924051,375.0,396.043467819404,402.24072520337097,459.712643678161,455.90733590733595,432.745901433178,446.428571428571,437.484375,447.368421052632,457.965517241379,456.936426574358,438.34211822660103,445.205479452055,435.734603897027,476.4638346727901
North Beacon Hill,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.682115270351,369.682115270351,369.709897610922,371.97173741291397,384.328725543452,392.117647058824,392.117647058824,397.698456871228,399.08256880733904,372.37484737484704,378.798840986917,394.384081577204,398.38337182448,382.190171098712,391.3080301986,409.44881889763803,446.428571428571,432.19712289732496,429.65116279069804,449.04432905004995,458.682830930537,453.382096545712,460.83959899749397,462.04141787815905,468.60050222824697
Finn Hill,Kirkland,WA,Seattle,King,233.211678832117,225.11918599753997,227.77775530021,224.590834697218,222.28260869565202,220.616883116883,219.109589041096,214.26948051948102,209.58985537696498,205.811138014528,202.137488436633,203.444915920163,202.31290815251702,191.65496019800702,191.39072847682098,188.992374327447,187.151714936033,197.57791584067402,186.131386861314,184.0,170.500960307298,180.11352657004798,179.333333333333,172.453703703704,170.623964660409,172.62569832402198,174.60869308799198,195.325871144493,211.18012422360198,210.42772186642298,209.26987281399,213.211827391696,211.78359296731603,210.42772186642298,219.089051094891,219.633856571253,216.628787878788,221.518987341772,231.958762886598,240.963253012048,249.85835694051002,243.693693693694,231.503579952267,231.660880885225,234.87951807228902,244.186046511628,258.278145695364,268.12865497076,278.63647862383,276.131191432396,266.66666666666697,258.823529411765,260.63829787234,263.638124757846,257.731958762887,256.512048192771,251.322751322751,252.102001111729,256.067073170732,231.84970566593103,258.811764705882,268.00738587255404,264.350828729282,267.857142857143,276.80216802168,269.280781373323,268.48132621951197,269.84126984127005,298.432343234323,285.837784073317,284.172661870504,265.486725663717,273.418036870952,282.426778242678,293.792670682731,310.087348548887,313.77551020408197,330.64128256513,332.882882882883,334.426092759426,331.748942489425,323.529840945571,320.043323139653,322.58064516128997,319.444444444444,324.365482233503,343.703004785848,339.77459773994997,338.80555309799803,337.265469219813,347.937791175665,355.321428571429,355.115639936272,374.20382165605105,373.805331376865,368.34135162428197,364.100371832538,387.795275590551,364.864864864865
Cascade,Renton,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.073382730123,154.22872340425502,154.429708222812,144.8,144.8,143.014908890116,141.28552736982599,144.37740960200898,161.133866133866,162.14653271257,162.946661693398,164.464751958225,167.487684729064,158.385093167702,147.513661202186,152.860450160772,158.415841584158,152.263374485597,160.123966942149,158.743693684851,164.1193081539,176.213768115942,182.086302454473,183.384191689664,174.22912938203999,164.22535211267598,162.78586083656901,166.136363636364,174.740131578947,173.25495049505,181.21875,198.93396673334,197.30662251655602,198.01324503311298,201.83229813664602,198.01324503311298,201.83229813664602,197.42283950617298,205.555555555556,209.435825612296,213.31609566903703,208.333333333333,214.541213097155,226.829268292683,226.81799549087899,228.79924953095698,242.957746478873,235.006181699629,232.48663101604302,238.168470750806,239.442465970244,235.13377926421398,240.770465489567
Lea Hill,Auburn,WA,Seattle,King,142.89434523809499,142.89434523809499,139.887640449438,138.522939047399,134.734042553192,134.83606557377,126.287895578122,127.43932946486099,127.624113475177,119.81566820276501,118.847935435435,115.89403973509899,108.342800961328,100.180722891566,102.82458310427,96.5172413793103,97.67441860465121,96.42857142857142,97.05149501661128,104.5,104.518244575937,104.912475345168,103.720588235294,103.720588235294,100.03335557038,103.95791132117901,108.348476094179,108.481262327416,101.906640368179,112.648221343874,112.80359729599199,116.731517509728,114.678899082569,119.475890985325,124.585508146921,121.572327044025,125.509677234091,122.410901467505,123.96155636495001,127.464065708419,134.092503544043,136.381098732232,140.819906074051,141.35996409335698,139.43440691280398,139.048473967684,136.66225749559098,139.661896325595,138.913110224133,137.837973834284,138.887573964497,143.924376798588,140.819376380412,143.20423821702602,144.644515380151,143.109639771069,144.355944130753,145.781481481481,144.67005076142098,147.03781512605,148.2421875,149.294747081712,150.698075586015,151.708154434456,152.295077222312,154.151459854015,156.363989134653,156.363989134653,158.926138400861,159.44553483807698,159.4106898127,152.63358778626002,154.617415034082,160.017421602787,159.726659566915,163.370951913641,162.871287128713,163.85887215825198,165.5494007705,167.001281503631,168.636072627122,168.016826923077,169.557625145518,171.935626102293,171.58273381295,171.935626102293,173.180545836249,178.526785714286,179.051530993279,181.017433552444,187.053647459552,188.496383799421,188.719375247133,188.129509167416,185.86030866858997,182.507360157017,183.05005820721803,186.292775665399,193.631593179458
North Juanita,Kirkland,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.274111675127,218.251639170897,220.183486238532,221.33166726169202,218.645833333333,217.49462943071998,218.36569579288002,221.24689794538997,227.31642932889,230.046948356808,225.85425909494202,221.40221402214002,218.550106609808,204.20792079207902,209.27908987357398,233.45177664974602,234.64285714285703,236.710376577695,241.12792574657,243.111831442464,234.61772768808999,238.07142857142898,247.395833333333,242.549019607843,248.05343511450403,247.724634223919,251.912948868892,267.258938503099,290.427034499339,284.416826003824,284.100135317997,283.068783068783,284.100135317997,277.525252525253,279.046261930011,279.891304347826,271.490750816104,296.048630136986,301.800655484866,302.763610056068,298.371170257098,294.385964912281,323.102678571429,329.36159856409097,340.896788163118,331.46408839779,330.22949304699904,351.351351351351,359.259259259259,355.127537348235,360.798969072165,370.747619047619,381.214917127072
Pinehurst,Everett,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.384615384615,187.74597495527698,185.449735449735,187.74597495527698,200.684306569343,207.791465378422,215.083689458689,210.41362898465198,202.597402597403,187.373508425594,192.980907408013,181.690528634361,187.197136563877,192.70374449339198,194.33802816901402,199.971830985915,200.03606594431199,206.470264317181,207.014084507042,209.83098591549302,217.483480176211,209.83098591549302,206.470264317181,208.11882639449,213.016605137433,211.97687224669602,211.97687224669602
Kingsgate,Kirkland,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.456621004566,224.54068241469798,223.85516263592098,223.16964285714297,220.329639262694,218.266143167243,220.597826086957,223.069730162971,224.374261722924,224.66292134831502,224.20784103114897,221.549666984478,217.49462943071998,215.402553757106,214.466635514019,216.43292682926798,223.94980895720798,221.052631578947,223.20971867007702,210.885416666667,215.28708133971298,215.28708133971298,234.29520680901902,245.867385711223,246.842105263158,251.79856115107899,252.69709543568501,253.68243873742298,253.164556962025,249.984375,247.395833333333,251.856145251397,253.028232882109,254.054054054054,260.653301282051,263.221153846154,268.582958569597,279.606866302052,268.651308674021,263.313609467456,264.285714285714,273.224043715847,281.44519289651004,277.777777777778,280.515267175573,245.97959809008202,289.732142857143,308.056398104265,320.77755938441004,309.173669467787,310.752688172043,316.09195402298803,310.517538815411,319.354838709677,327.24984266834497,308.33333333333303,299.022426682001,335.685043668122,341.154915339904
Broadview,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.759853824067,323.61394992335204,302.67379679144403,296.78714859437804,315.582755974814,328.709931245225,318.103448275862,321.668623929262,340.02818886539796,341.66666666666697,343.243243243243,324.860113290964,336.36363636363603,348.47168268247805,314.114022857007,359.90990990990997,371.428571428571,360.457328740911,341.345381526104,355.94059405940595,381.818181818182,364.583333333333,358.606557377049,358.058608058608,379.53795379537996,380.65268065268094
Columbia City,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.10372595212397,326.19840213049304,329.26747311828,329.26747311828,327.02702702702703,342.964896652975,350.00475586556803,353.598593662908,362.69543464665395,362.69543464665395,362.69543464665395,352.112676056338,372.31512581906304,406.88622754490996,418.740849194729,408.247142079477,401.95576706522,397.19626168224295,423.309788092836,430.89545241444,430.89545241444,421.19565217391295,412.60916714864095,406.611741421766,428.35519677093805
East Queen Anne,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.49376114082,458.00150335363503,465.587044534413,459.48275862069,468.75742972530503,466.950681635926,467.89215686274497,466.666666666667,466.666666666667,466.666666666667,473.56828193832604,539.0788340917479,519.938650306749,532.640949554896,505.31914893617005,498.666666666667,473.30499847297204,473.30499847297204,473.20574162679395,485.711374885155,519.470909640043,518.111236589497,517.391304347826,504.787961696306,521.063100677485,533.561643835616,543.664523249676,591.447368421053,595.644382939465,577.370689655172,557.432432432432,637.065637065637,651.319387476073,676.376614547927,610.648854961832,634.328358208955,645.7851801495581
Cougar Mountain,Bellevue,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.738434163701,365.738434163701,370.963981484641,380.46894342041,379.54016072812004,376.049550869232,377.03016241299304,392.49221183800597,389.057635685853,384.973861848449,416.293977340489,434.746151326564,430.422535211268
