Zip,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
98030,Kent,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249950.0,249450.0,259900.0,260000.0,264725.0,264950.0,265000.0,255100.0,270000.0,265000.0,269995.0,267450.0,269950.0,234977.0,218000.0,254500.0,267000.0,274000.0,269950.0,269997.5,278975.0,279950.0,299950.0,299950.0,299950.0,299950.0,302000.0,299000.0,300000.0,299000.0,312425.0,329900.0,325000.0,339000.0,355000.0,361875.0,359950.0,359950.0,379950.0,399950.0,400000.0,399950.0,392450.0,369950.0,365000.0,376388.5,379950.0,378950.0,379950.0,382475.0,412472.5,399975.0,419950.0,424975.0
98290,Snohomish,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000.0,399000.0,365000.0,379000.0,372475.0,389950.0,380000.0,400000.0,417000.0,410000.0,409494.0,399950.0,399950.0,391725.0,400425.0,424950.0,435000.0,454700.0,454700.0,449990.0,459925.0,449995.0,439999.0,414950.0,415840.0,414950.0,415395.0,419950.0,422950.0,441255.0,446152.5,469950.0,475000.0,469950.0,475250.0,475000.0,474950.0,485500.0,484950.0,489950.0,494345.0,500000.0,500000.0,504950.0,500000.0,499999.0,510000.0,525000.0,530000.0,537000.0,542425.0,549950.0,582475.0
98038,Maple Valley,WA,Seattle,King,309925.0,316475.0,305990.0,299950.0,299950.0,299900.0,299000.0,299000.0,297500.0,275000.0,265950.0,260000.0,267000.0,262250.0,265000.0,254900.0,249995.0,259972.5,256250.0,259950.0,250000.0,254997.5,249950.0,239900.0,239000.0,249925.0,259925.0,255000.0,264950.0,270000.0,269950.0,269950.0,249975.0,244900.0,284950.0,284950.0,288527.5,292450.0,294950.0,299950.0,301225.0,309000.0,319950.0,321450.0,339950.0,335000.0,309990.0,309900.0,309950.0,324950.0,324925.0,327475.0,327950.0,359970.0,355000.0,357000.0,359950.0,350000.0,349495.0,329995.0,344000.0,347000.0,355000.0,360000.0,369950.0,369950.0,369950.0,384974.5,389250.0,384900.0,384950.0,379950.0,385000.0,363000.0,397950.0,415000.0,415000.0,410000.0,408000.0,400000.0,408500.0,420000.0,417450.0,420950.0,409475.0,424950.0,434450.0,459950.0,475000.0,464975.0,465000.0,464950.0,464974.5,488900.0,494900.0,475000.0,480900.0,499900.0,529475.0
98335,Gig Harbor,WA,Seattle,Pierce,422500.0,404500.0,409000.0,399000.0,400000.0,400000.0,399000.0,399000.0,399475.0,385000.0,370000.0,349950.0,339000.0,339000.0,349000.0,349900.0,349900.0,399250.0,379950.0,385000.0,364900.0,364700.0,349000.0,349450.0,349000.0,342450.0,349000.0,354950.0,371750.0,355000.0,349700.0,349000.0,339000.0,325000.0,364700.0,364500.0,349900.0,359900.0,369000.0,365950.0,400000.0,408000.0,419500.0,419000.0,422200.0,425000.0,408000.0,412500.0,399950.0,399500.0,399500.0,424947.5,437000.0,435000.0,424750.0,449000.0,424500.0,425000.0,425000.0,397475.0,425000.0,439000.0,464990.0,484000.0,489475.0,499500.0,485000.0,499725.0,477495.0,477250.0,484750.0,492475.0,470000.0,479000.0,492500.0,499950.0,499000.0,498930.0,479250.0,482450.0,499949.5,499900.0,499000.0,479000.0,499990.0,530492.0,559900.0,548225.0,566500.0,539000.0,565025.0,549000.0,561500.0,564500.0,579500.0,573450.0,559950.0,569950.0,587250.0
98466,University Place,WA,Seattle,Pierce,294000.0,279900.0,289250.0,281000.0,285000.0,285000.0,285000.0,279000.0,279000.0,269000.0,250450.0,249500.0,220000.0,230425.0,230425.0,244750.0,249450.0,244750.0,239475.0,225000.0,214975.0,209950.0,209950.0,209950.0,204900.0,210000.0,215000.0,214500.0,215000.0,229000.0,231475.0,235000.0,229900.0,219950.0,250000.0,249450.0,261000.0,266225.0,264970.0,274500.0,285000.0,296975.0,300000.0,299000.0,285000.0,284950.0,275000.0,287000.0,269925.0,259000.0,259000.0,264950.0,279500.0,286000.0,279700.0,279925.0,289950.0,289950.0,261750.0,263500.0,269950.0,269950.0,285000.0,289950.0,294000.0,289950.0,295000.0,290000.0,295000.0,285000.0,275000.0,274500.0,284950.0,299000.0,299900.0,315000.0,324900.0,319950.0,319925.0,319900.0,320000.0,316387.5,319950.0,319500.0,320000.0,325000.0,339000.0,347000.0,349500.0,349950.0,349950.0,345225.0,339950.0,339900.0,359950.0,354950.0,372375.0,369375.0,384450.0
98498,Lakewood,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225450.0,205000.0,200000.0,200000.0,219925.0,216000.0,219950.0,229500.0,229500.0,225000.0,219500.0,233097.0,219500.0,215000.0,199900.0,210000.0,234500.0,253000.0,250000.0,244000.0,238000.0,236475.0,232475.0,221000.0,206048.0,219900.0,230000.0,239500.0,248950.0,250000.0,269950.0,275750.0,275000.0,271225.0,269950.0,259999.0,269950.0,252450.0,259999.5,270000.0,267900.0,279000.0,289000.0,298250.0,280000.0,265000.0,250000.0,249975.0,268000.0,265000.0,255000.0,259000.0,265000.0,259950.0,289450.0,289000.0,298500.0,289000.0,294750.0,295000.0,294975.0,300000.0,320000.0,320000.0
98445,Parkland,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189725.0,189950.0,189950.0,191250.0,180000.0,184900.0,179250.0,189000.0,189250.0,195250.0,199950.0,194950.0,189000.0,164750.0,185000.0,199999.5,201000.0,204975.0,201000.0,211500.0,200000.0,215000.0,219000.0,213550.0,213550.0,205000.0,212950.0,215460.5,215000.0,219900.0,229925.0,235000.0,239000.0,234950.0,230000.0,235000.0,229900.0,225000.0,230000.0,235000.0,237500.0,246495.0,249000.0,249950.0,249950.0,250000.0,257000.0,255000.0,255475.0,255000.0,254975.0,254975.0,258950.0
98404,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137500.0,139950.0,129950.0,132750.0,135000.0,139450.0,147975.0,149950.0,150000.0,155000.0,149997.5,144950.0,125000.0,125000.0,147000.0,154900.0,150500.0,145650.0,150000.0,159900.0,155000.0,167899.0,169000.0,164900.0,159950.0,160750.0,159000.0,159950.0,169950.0,179950.0,183974.5,189450.0,189950.0,193700.0,199000.0,199950.0,195000.0,196251.5,195000.0,199925.0,206975.0,214950.0,222400.0,225000.0,229900.0,229500.0,233150.0,234925.0,231000.0,230000.0,230440.0,235000.0,247225.0
98001,Auburn,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000.0,274995.0,264950.0,283900.0,274950.0,274925.0,279250.0,289000.0,299700.0,289000.0,285000.0,267900.0,259999.0,259997.5,275250.0,290000.0,309975.0,310000.0,305000.0,316715.0,315950.0,329950.0,314900.0,303975.0,308950.0,314900.0,309900.0,293750.0,322475.0,315000.0,324950.0,325000.0,324950.0,329950.0,334925.0,329950.0,335000.0,324500.0,319925.0,329950.0,345000.0,372475.0,379950.0,392500.0,385000.0,389000.0,385000.0,379000.0,405000.0,407250.0,434950.0,475900.0,475450.0
98021,Bothell,WA,Seattle,Snohomish,385750.0,375000.0,357450.0,350000.0,354600.0,351000.0,355900.0,359950.0,350000.0,329950.0,319000.0,299950.0,309950.0,319950.0,319950.0,324975.0,328475.0,328475.0,329950.0,344975.0,339950.0,339650.0,339875.0,339950.0,342475.0,350000.0,349950.0,343950.0,355013.5,379475.0,379950.0,379475.0,374970.0,364925.0,414975.0,420950.0,423450.0,409000.0,424990.0,405475.0,429000.0,415000.0,429975.0,399450.0,394300.0,398000.0,409950.0,422475.0,452975.0,452975.0,472499.5,509950.0,515000.0,509950.0,500000.0,499880.0,532450.0,544950.0,539950.0,479950.0,512475.0,530500.0,535225.0,521975.0,525000.0,525000.0,509950.0,524975.0,506900.0,506875.0,498800.0,499950.0,519915.0,565000.0,565000.0,539475.0,498975.0,502497.5,512500.0,525000.0,554950.0,605000.0,649975.0,686900.0,699995.0,719900.0,679900.0,654000.0,659000.0,650000.0,676887.5,674950.0,734000.0,764995.0,793475.0,775000.0,824990.0,795995.0,778497.5
