,zipcode,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
10,33027,Miramar,FL,Miami-Fort Lauderdale,Broward,123.43453510436399,122.20142734585501,121.05420031211099,119.83471074380199,118.26247689463999,114.29762407881901,117.469655334617,116.830960204454,118.35160756984502,115.840710753347,115.49286970809099,115.030674846626,113.48261251102,114.91370218578399,112.491605104097,110.814317152232,109.885472619463,110.86350974930401,112.063367397297,110.622782164823,106.49525301272699,107.783555411115,107.877478772753,107.952560591657,106.63962425277501,106.66204758315399,107.40950389324499,98.8901523579756,95.8206371766276,90.52924791086349,98.0392156862745,103.65145228215799,100.276816608997,102.94117647058799,119.779944986247,122.01799171166799,121.01187460069201,120.426090710671,121.908801758466,125.290023201856,128.050980260385,130.598455598456,133.28840970350402,130.913348946136,131.538755250095,132.305478651409,136.162451361868,138.375740676194,138.30037664783399,138.730150072465,141.657922350472,143.137748181917,143.226887533433,143.90243902439,145.718382708825,145.502645502645,146.43833419105601,145.94162335066002,144.83354950281,147.29246047215798,147.67029516633102,149.481578136514,147.700157949,147.096639235598,149.122807017544,149.307983363435,151.543067710732,150.26517383618202,152.558514544816,152.42118947026302,149.179104477612,148.861283643892,146.130309940382,148.59177727419902,146.974789915966,152.262837249782,154.082248532026,154.777345438824,155.776720034617,158.337311964659,159.576862275384,160.29975601254802,160.378959150841,160.689655172414,161.82618149585699,161.834114336327,161.840527577938,164.05115902198298,163.020030816641,161.956549260418,162.873717090585,164.63260669481002,165.00622665006202,161.194202501209,159.756561430202,159.34065934065902,159.84015984016,160.39019075425,161.668614636206
11,33063,Margate,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2111650485437,94.3369513921661,94.9,94.93811948404621,96.6160220994475,92.83406415878142,89.59047087881441,95.4228893676495,96.7883895131086,102.52808988764,106.514382402707,103.89255984303101,102.310242500116,96.0170697012802,97.28847755623458,106.72853828306299,111.194029850746,104.25361155698201,110.71744906997299,113.24700737071801,115.748031496063,114.58715596330299,114.05295315682301,122.190021897922,119.757692307692,113.64618726552,107.896228471768,123.415610406938,123.54284760321998,127.095976815547,131.96,134.379300529239,138.326927170802,137.729808189197,126.119402985075,128.71165644171802,124.408709912536,128.767320343194,132.382892057026,136.134124552869,141.09059599565902,142.594763579523,139.691697416974,134.517766497462,138.01756587202,138.974591651543,137.265024574369,140.346153846154,137.17724508447398,134.857266155304,139.254385964912,144.24110195708099,148.05414551607402
12,33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8492001863643,63.8787510137875,63.4315327438165,61.624649859944,60.1941747572816,59.0161290322581,58.89281507656071,58.778869031852395,61.268564356435604,61.8233618233618,62.03559027777779,62.22222222222221,58.25,60.185185185185205,61.32075471698111,64.2694928084784,65.9259259259259,65.6661320442155,65.6810035842294,65.1851851851852,66.7569180513239,72.4218938522903,67.6307666404759,66.3449939686369,66.6666666666667,66.6666666666667,68.05547836155739,68.08510638297871,68.0136054421769,68.52992642316241,70.8559972105997,72.02612346446901,72.28505747126441,73.42436974789919,72.7240263780018,72.7609309371342,73.60016923436041,72.992700729927,72.62120327102801,73.2610562473164,74.237045542761,75.554435483871,75.4098360655738,77.9947916666667,77.9544510480573,79.2682926829268,78.4157222088257,81.61723163841809,81.4583333333333,81.2947396963124,82.9389266090075,83.3333333333333,84.3449763882104
13,33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3399765533411,69.538729329852,72.0288115246098,74.5283018867924,72.0089102124743,71.7761557177616,73.3644859813084,73.021523119159,71.936589545844,72.6303779446204,71.80851063829792,71.2121212121212,71.9153104844758,73.1701426368237,73.52941176470591,74.1525423728814,73.2876712328767,74.8663101604278,74.9875,74.7394994091739,74.3617021276596,75.3968253968254,75.0,78.97674418604649,79.4825396825397,76.6801724554369,77.6595744680851,78.7610619469027,79.3280696100548,80.1282051282051,80.26315789473679,79.46092278719401,82.62711864406779,84.5238095238095,84.897651920428,87.375,86.2146050670641,86.86440677966101,87.85784797630801,89.92805755395679,87.5730994152047,90.0,90.5711206896552,91.58878504672899,91.58878504672899,90.05071399973309,89.7401481799635,90.4310344827586,90.4446640316206,89.5652173913043,90.2155172413793,91.2698412698413,91.7610062893082,92.62135865867208,94.04384517399109,92.5
14,33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.374274812409,101.877633033815,100.59117435346901,100.61919504644001,99.5097803706246,98.20512820512822,100.636888560481,101.026845917917,101.335428122545,100.41152263374501,102.571855826534,105.21557059419901,102.964644194757,101.882352941176,104.43864229764999,106.629213483146,105.24911777772199,106.39355311355301,104.84997218855301,105.804111245466,112.244063528428,112.5,112.244063528428,115.941157210487,119.82414068745001,119.70357454228399,119.77351916376301,119.21758569299601,122.77155981770201,121.451355078034,126.118795768918,130.44311381905,130.48016701461398,131.265060240964,130.741306898418,129.86660710654,132.63785394932898,134.338802075523,135.512048192771,137.983962264151,139.272895679471,140.876355176546,140.704965567235,141.16514837350002,141.67443832132298,140.128968253968,138.546798029557,141.891891891892,142.030042331488,142.402545743835,141.201264488936,146.170504748322,149.137931034483
15,33467,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,97.3124098124098,99.58989994256392,99.44029850746271,95.575225943647,95.55831360876621,96.97435068434099,100.600271148073,102.46913580246901,100.966033032097,97.0245795601552,98.99456982861021,95.7535387177352,94.8574982867018,93.70119729307649,91.256038647343,91.36146332628599,91.35021097046409,91.1711054359723,91.0669466931781,93.42348303652321,91.9117647058823,92.6518187064288,91.41265158964269,87.7087278682827,82.98465829846579,80.09041608158091,80.23267687819109,77.25843633121801,73.2666666666667,74.0199903174534,75.8436909694112,77.6196636481242,75.8436909694112,75.6369426751592,85.0691618471487,83.5838845460012,80.8571428571429,82.98465829846579,87.55928493250642,89.1512554026259,87.55928493250642,92.23993288590599,97.43135518157659,97.7633477633478,101.11775409409901,104.993080538874,110.88742810189,107.023494767775,104.787446214429,110.093758795384,113.626834739732,117.13689409118099,115.985267034991,121.10202845897699,122.839182818229,123.67950129042102,126.229508196721,121.840228641194,121.919504643963,119.298245614035,122.915149829314,117.190569744597,119.344814550238,119.066509452311,117.279124315872,124.8126561199,124.24075096631701,131.50976811113,136.207741303283,133.426655991568,133.511859219587,129.328847134511,129.830655666522,128.988637233955,127.069246910702,134.742993324111,132.837407013815,135.778099890046,136.815822085273,140.56286326093598,141.32718392693198,144.508670520231,144.989962078965,141.003888299753,140.431195793764,144.32144079039801,145.408163265306,148.60828329219498,149.83716054454501,148.80766948523998,153.75283446712,156.150703586019,155.431855995624,155.640609795654,153.374233128834,150.340475821996,152.763819095477,152.747575425094,153.25153374233102
16,33157,Village of Palmetto Bay,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.11111111111099,108.964264082374,117.003039039975,121.778350515464,120.29394000402701,113.58328419511601,116.593208075676,120.269401134501,128.440172861579,127.131147540984,130.494085069489,134.47309417040398,125.84704743465599,128.929655043645,131.040892193309,131.040892193309,130.389064143007,127.851711026616,136.897021336465,146.100023548805,146.865753092408,136.758321273517,137.746062992126,146.35864745578002,150.13010188878,153.993054857377,153.325123152709,151.943462897527,149.836820568178,151.389770166037,152.924866987657,153.973509933775,159.598853868195,162.14750542299402,164.264626535952,164.928676009203,166.477675407512,172.72727272727298,171.724137931034,172.399514295919,171.819600375728,170.758061209408,170.491181490613,172.773691351853,173.514538558786,178.940123881624,179.537694289109,179.23970848926498,177.23453017570702,176.616915422886,176.38152914458698,176.56338469922,176.037215972195,180.784536668562,182.79172821270302,186.471687157817
17,33458,Jupiter,FL,Miami-Fort Lauderdale,Palm Beach,157.5,153.255155681359,148.68710757142298,148.546144121365,147.811725846408,146.268656716418,145.210882387403,146.063281824871,145.656779661017,143.68529660481002,145.439708151106,140.755222281735,138.833333333333,136.49906890130399,134.9,129.709645288235,133.783347174243,135.08316008316,133.851098018211,133.681255662821,133.851098018211,136.552048987282,131.668496158068,126.821370750135,131.739628482972,134.60514139370702,137.794827068964,141.05917916521298,142.303711314219,142.857142857143,145.21552254336,144.53781512605,147.195313793674,150.10006671114098,156.361559529449,157.631113730112,158.735795454545,160.189398266106,159.926168990976,163.933931574036,163.66350747418699,168.170986399153,165.562913907285,167.649134915531,169.41443065073798,170.07734974943702,171.523330283623,174.526493367073,177.486758351622,181.234053173849,179.603033633933,181.912681912682,181.30869130869098,181.298701298701,182.79850746268698,185.245901639344,185.27272727272702,183.92882311487,186.130291203843,186.011904761905,189.842209072978,189.87341772151902,189.87341772151902,189.266725742136,190.077842143374,191.105252540147,191.25570507977199,194.176443055367,193.452380952381,194.87036520769402,196.065573770492,196.25742574257401,196.42983386355598,199.55654101995603,202.21047078729998,201.94150190451302,203.20614134116101,203.481521156936,202.481012658228,203.323809129433,202.514293928868,204.90883032744802,204.569105859221,204.318936877076,203.609258532758,204.52584328423302,207.630860594175,208.813700918964,209.380234505863,210.52631578947398,210.480549199085,209.20612461222802,211.350293542074,213.41463414634103,211.497785410829,214.882943143813,215.572592237662,219.322598556358,220.918861946917
18,33414,Wellington,FL,Miami-Fort Lauderdale,Palm Beach,130.739831013732,130.938452224129,125.63650852338002,127.00896402477801,128.56189180140302,124.08759124087601,123.91034949360599,124.42166910688101,122.73238145934499,118.897167218615,118.88782358581001,117.885408079143,115.31196336577,114.031717590602,113.56534090909099,112.763915547025,113.085804662127,111.971845884091,111.08797501301399,111.805642578669,111.143547933083,112.745098039216,111.426256077796,108.426227577815,109.886439545758,109.26573426573401,113.858836404495,112.827339836665,111.675977653631,111.675977653631,112.908430818879,116.704516780217,116.833909716346,118.084652041,132.107642072416,132.591543887486,137.244897959184,138.267737611228,141.313383208645,143.826121794872,144.763965381589,143.826121794872,142.559753276793,146.393250174924,147.61904761904802,150.59973345179898,150.982532751092,151.838529176659,157.236842105263,155.113636363636,154.445071179157,153.398058252427,156.216839537551,159.670781893004,158.726097560976,158.044421378976,157.700421940928,160.25641025641002,156.6,161.568289530375,164.280125195618,166.823056300268,167.620605069501,167.825739408473,167.45406824147,164.54502593116501,165.652308815016,166.98951428784798,168.890765765766,173.28096411158,175.47857793983601,177.285992217899,176.428268017719,178.48785549914902,183.534347142108,183.82352941176498,183.798673126288,181.603528801245,177.927571681703,179.487179487179,184.13299663299702,184.327548806941,183.52730528200502,182.29915485108398,184.895833333333,187.915307708721,187.915307708721,192.14285714285703,191.507839619446,191.919191919192,192.397660818713,193.687374749499,196.23045275912898,197.21760797342202,202.156334231806,201.149425287356,203.60425944958303,201.692407062538,201.974288337925
19,33433,Boca Raton,FL,Miami-Fort Lauderdale,Palm Beach,137.94843015773301,138.75598086124398,139.41782898726498,134.892869022927,131.439894319683,130.349733254298,128.56247621384898,127.78698333793601,126.546023787576,125.0,123.42431006064301,118.159513536425,116.75562504895001,115.51865993032301,114.980717241112,113.25805425333799,114.748471359701,114.72009586701401,110.344827586207,111.836998706339,111.988316453342,112.00480192076799,105.729951532208,101.60262669661199,105.488540410133,109.698985419606,107.316072415205,106.82565789473699,109.809663250366,111.11111111111099,113.905722196273,117.125677057687,117.20432390103998,117.62220881110399,126.464594002641,126.497890295359,128.86333547996298,131.705426356589,133.23782234957,135.523642194068,140.610717283835,140.728476821192,139.438085327784,138.12800465353,144.303797468354,145.034947551335,144.216030761467,142.781557067271,144.94941237707,149.942810457516,150.0,152.005400023908,150.754770123208,151.116427432217,152.368548212411,147.856086742238,152.249134948097,152.766196865626,153.846153846154,148.37260053367902,150.971513974151,153.311066170999,153.887688984881,155.172413793103,156.174915905815,160.407725321888,161.454284329662,164.486722156163,164.78260869565202,163.90086611969699,164.81492607794598,166.829559158117,165.711009174312,166.592658377738,166.0,169.230769230769,172.369270497095,174.790555978675,175.927089880578,176.68622817485198,177.872353363834,178.869192649459,174.912349045579,175.154320987654,173.775671406003,174.994400822483,176.470588235294,178.491744756805,180.17366136034698,181.300440332819,185.123456790123,185.225880551302,183.050685492057,181.06854081124803,181.52786474639998,181.02372034956298,182.596934174932,180.283665911066,182.108142985153
20,33015,Country Club,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.858073859522,115.472611783991,115.340717299578,114.90479317137199,113.351134846462,117.491691559659,117.533718689788,118.556701030928,117.708333333333,119.432502149613,119.937764932563,120.904094575326,126.210526315789,128.236665869409,125.440528634361,131.02357049323402,132.15859030837,128.372067510549,131.22238586156098,132.281731474688,135.568952524491,139.53488372093,139.872521246459,139.380677457921,144.665461121157,142.842975383824,147.651006711409,148.533064162671,149.844881075491,154.345006485084,156.814485525317,157.183098591549,157.10723192019898,161.0,159.723225030084,161.75462645647698,165.394402035623,161.349489977043,165.394402035623,165.555555555556,167.08727655099898,167.452830188679,167.129337539432,166.666666666667,170.75306479859898,171.875,172.53116011505298,171.84035476718398,172.082474226804,172.940666522181,173.684210526316,174.846625766871,173.333333333333
21,33141,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,236.311239193084,227.924690124877,219.243986254296,206.93069306930698,205.673758865248,199.0,198.05535468771302,197.64185824856602,189.89898989898998,184.93150684931499,194.719950335732,192.30769230769198,188.615953957755,195.980392156863,203.393085787452,211.984536082474,216.494845360825,215.685520361991,219.73094170403598,218.446601941748,221.72789176077998,219.07216494845403,222.469410456062,223.809523809524,218.271182869838,218.44380403458197,214.47199700802798,217.00680272108798,232.911071795802,232.867598137059,227.72277227722802,223.300970873786,225.296442687747,217.431982901524,233.46276064361197,243.83651944627601,261.115901868072,256.006150297905,252.020202020202,262.345679012346,265.832681782643,268.918918918919,279.514563106796,272.619047619048,276.366435719784,276.366435719784,278.571428571429,276.23762376237596,277.295953360768,292.966636609558,285.15827711468603,279.72027972028,276.077348066298,287.029702970297,286.04829388411497,287.029702970297,289.962704238693,290.291262135922,304.19738800201003,312.637170280409,307.841486625942,306.105801628893,295.381694644285,292.060204909536,289.75487804878,290.023201856148,293.684210526316,304.85247266381697,311.39565549309503,305.805396565822,323.868585269237,323.545379063678,336.51099229940604,338.888888888889,327.737809752198,338.814010967792,340.902872609175,339.753086419753,339.21648977584704,334.077772693422,328.763866877971,327.66666666666697,337.707783553245,338.709677419355,338.308457711443,338.15189785339,332.445036642239,332.208510638298,335.932500806072,336.976320582878,333.656588705077,328.539611835826,335.67448587414395,337.513631406761,337.998647734956,340.233680121726,338.140312354727,337.540599487164,339.366515837104
